기업명,공고명,경력,공고문 컬럼,이미지 링크,URL,first-seen,completed_date
플러그링크,전기차충전업 CX매니저,경력 2-7년,"전기차 충전사업자로 비약적인 성장 중에 있는 플러그링크의 Charging Infra는 적극적인 커뮤니케이션과 문제해결 역량을 통해 고객에게 편리하고 신뢰할 수 있는 충전서비스를 제공할 수 있도록 고객상담, 모니터링 및 유지관리 업무를 전문적으로 수행하고 있습니다. 최적의 전기차 충전 환경을 제공하기 위해 지속적으로 기술을 개선하고 고객 만족을 최우선으로 하는 서비스를 제공합니다.
CX 매니저는 본사 차원의 ‘최종 해결사‘로서, 고객센터에서 해결이 어려운 기술적 결함 및 복합이슈 민원을 직접 통화로 대응하고 완료하는 포지션입니다. 단순 응대를 넘어, 충전기 오류 패턴을 분석하고 논리적으로 문제를 해결하며 고객에게 신뢰를 주는 전문적인 커뮤니케이션을 수행합니다.
주요업무
• 전기차 충전 이용 중 발생하는 고객 이슈의 원인 분석 및 해결 총괄
• 고객 문의 및 클레임에 대한 사실 기반 커뮤니케이션 및 신뢰 회복
• 현장 파트너(유지보수사, 설치업체 등) 및 내부 유관 부서와의 이슈 조정 및 협업
• 반복 발생 이슈에 대한 패턴 분석 및 프로세스 개선 제안 (매뉴얼, FAQ, 내부 대응 가이드 고도화)
• 고객 경험 관점에서의 서비스 품질 개선 아이디어 도출 및 실행
자격요건
• 고객 민원 또는 이슈 대응 업무 경험 보유 (콜센터 2차 대응, 본사 CS/CX, 운영 지원, 서비스 운영 등)
• 단순 응대가 아닌 문제 상황을 정리하고 조치를 연결해본 경험
• 여러 이해관계자(고객·내부·외부)와의 업무 커뮤니케이션 경험
• 이관된 업무를 놓치지 않고 진행 상황을 관리할 수 있는 분
• 기본적인 문서 작성 및 협업 도구(메신저, 엑셀 등) 사용이 가능한 분
상세 정보 더 보기",,https://www.wanted.co.kr/wd/333960,2026-01-28,
플러그링크,전기차충전업 영업매니저,경력 3-8년,"플러그링크(PLUGLINK)는 전기차 충전기의 플러그(Plug)로 사람과 세상을 연결(Link)하겠다는 뜻을 담고 있습니다.
빠르게 성장하는 전기차 시장에 발맞춰 에너지 금융으로 안정적인 인프라를 보급하고 있으며, 고객 경험을 실현하는 IT기술로 전기차 충전을 사용자 경험 중심의 영역으로 확장하고 있습니다.
플러그링크는 전기차에 충전기를 연결하는 행위를 넘어 충전을 기다리는 시간과 공간도 함께 고민하는 일상을 바꾸는 전기차 충전 플랫폼입니다.
주요업무
• 전기차 충전인프라 구축 영업 및 고객관리
- 영업대상 : 공동주택(아파트, 오피스텔 등), 상업시설(빌딩, 지식산업센터 등)
• 신규 영업채널 및 거래처 발굴
• 시장정보 수집 및 분석
• 환경부 보조금 사업 수행
• 전기차 충전기 설치 영업총판, 대리점 관리 업무
자격요건
• B2C, B2B 영업 관련 경력이 3년 이상 있으신 분
• MS Office, Google Sheets 등 문서작성이 능숙하신 분
• 운전면허를 소지하신 분
• 유연한 커뮤니케이션 및 관계 구축 역량을 보유하신 분
• 내/외부 이해관계자와 문제 해결을 위한 협상능력을 보유하신 분
상세 정보 더 보기",,https://www.wanted.co.kr/wd/314274,2026-01-28,
플러그링크,전기차충전업 운영기획 매니저,경력 4-10년,"Charging Infra 소개
전기차 충전사업자로 비약적인 성장 중에 있는 플러그링크의 Charging Infra는 적극적인 커뮤니케이션과 문제해결 역량을 통해 고객에게 편리하고 신뢰할 수 있는 충전서비스를 제공할 수 있도록 고객상담, 모니터링 및 유지관리 업무를 전문적으로 수행하고 있습니다. 최적의 전기차 충전 환경을 제공하기 위해 지속적으로 기술을 개선하고 고객 만족을 최우선으로 하는 서비스를 제공합니다.
주요업무
• 운영 데이터를 기반으로 의사결정을 리드하고 운영 최적화 전략을 수립·실행
• 충전기,VoC, 고장이력 등 운영 데이터 분석을 통한 운영 인사이트 도출 및 개선 과제 발굴
• 데이터 기반 의사결정 지원을 위한 대용량 데이터 가공 및 보고서 작성
• 운영 프로세스 개선, KPI 설계, 성과 분석 및 운영 효율화 방안 기획
자격요건
• 관련 경력 2년 이상
• 엑셀 기반의 데이터 처리, 분석, 자동화 능력이 우수한 분
• 복잡한 데이터를 구조화해 논리적 인사이트로 전환할 수 있는 분석 역량
• 운영 기획, 사업 기획, 서비스 운영 등에서 주도적으로 문제를 해결한 경험 보유
• 다양한 이해관계자와 효과적으로 소통할 수 있는 커뮤니케이션 역량
• 빠르게 변화하는 운영 환경에서 문제를 발견하고 스스로 해결책을 설계할 수 있는 역량
상세 정보 더 보기",,https://www.wanted.co.kr/wd/333562,2026-01-28,
플러그링크,전기차충전업 PM 매니저,경력 3-8년,"플러그링크(PLUGLINK)는 전기차 충전기의 플러그(Plug)로 사람과 세상을 연결(Link)하겠다는 뜻을 담고 있습니다.
빠르게 성장하는 전기차 시장에 발맞춰 에너지 금융으로 안정적인 인프라를 보급하고 있으며, 고객 경험을 실현하는 IT기술로 전기차 충전을 사용자 경험 중심의 영역으로 확장하고 있습니다.
플러그링크는 전기차에 충전기를 연결하는 행위를 넘어 충전을 기다리는 시간과 공간도 함께 고민하는 일상을 바꾸는 전기차 충전 플랫폼입니다.
주요업무
• 전기차 충전기 시공 프로젝트 운영 및 일정 관리
• 시공 파트너사의 공정 및 품질관리 지원
• 전기차 충전소 구축을 위한 자재 구매 및 재고관리
• 사업 관련 도면 검토, 시방서 이해 및 기본 설계 지원
• 충전소 준공검사 및 기술자료 문서화
• 나라장터 입찰 공고 및 낙찰 업무 지원
자격요건
• 시공관리 유관 경력을 3년 이상 보유하신 분
• 전기기사 자격을 보유하신 분
• 전기·에너지·건설 관련 학과 졸업자 또는 졸업 예정자
• EV 충전 인프라 또는 전력·배선 시스템에 대한 기초적 이해도가 있으신 분
• 현장관리 및 외부 커뮤니케이션(시공파트너, 한전 등)에 어려움이 없으신 분
상세 정보 더 보기",,https://www.wanted.co.kr/wd/314271,2026-01-28,
플러그링크,전기차충전업 전략기획 매니저,경력 3-8년,"플러그링크는 금융과 IT 그리고 인프라를 결합하여 세상에 없던 비즈니스 모델을 만들고 법과 규제라는 장벽을 창의적인 구조 설계로 넘어서며 폭발적으로 성장해왔습니다. 2021년 7월 창업 이래, 거대 자본이 지배하던 시장에서 IT와 금융을 결합한 혁신으로 판을 흔들어 왔고, 지난해 한화솔루션 충전 사업부문을 인수하며 업계 4위로 도약하였습니다. 이제는 '3년 내 국내 1위 달성 및 글로벌 시장 진출'이라는 담대한 목표를 향해 달리고 있습니다.

전략기획 Function은
CEO/COO 직속의 'CEO Agenda 조직'입니다. 경영진과 가장 가까운 거리에서 회사의 방향성을 함께 고민하고, 급변하는 시장의 불확실성을 '실행 가능한 전략'으로 전환합니다. 창업 초기부터 회사의 모든 퀀텀 점프를 이끌어온 리더와 함께, 경영진의 의사결정을 지원하고 전사 조직이 동일한 목표를 향해 뛰게 만드는 구심점 역할을 수행합니다.
주요업무
• 의사결정 지원: 시장 트렌드, 경쟁사 동향 및 내부 데이터 분석 기반의 경영진 의사결정 지원
• M&A 실무 주도: M&A 및 자산양수도 프로젝트의 Valuation, 실사, 계약 검토 등 Deal 전 과정 수행
• 투자 유치 지원: 투자 유치를 위한 Equity Story 개발 및 Pitch Deck 작성 지원
• 비즈니스 모델 설계: 신규 비즈니스 모델 수익성 분석 및 시뮬레이션을 통한 최적의 사업 구조 설계
• 전략적 규제 대응: 시장 진입 장벽(규제, 경쟁 환경) 분석 및 돌파 전략 수립
• 인수 자산 통합: 인수 자산의 효율적 관리를 위한 시스템 통합 프로세스 기획 및 모니터링
• 프로세스 최적화: 전사 밸류체인 비효율 진단 및 운영 프로세스 최적화 방안 제안
자격요건
• 3년 이상의 관련 경력을 보유한 분
• 전략기획, 컨설팅, VC/PE, IB, 재무/회계 등 관련 직무 경험을 보유한 분
• 재무제표에 대한 이해를 바탕으로 사업 타당성 분석 및 밸류에이션 모델링이 가능한 분
• 복잡한 비즈니스 문제를 구조화하여 핵심을 파악하고, 논리적인 해결책을 제시할 수 있는 분
- 끈기를 가지고 실행하여 끝내 결과를 만들어내는 집요함(Grit)이 있는 분
• 경영진 및 유관부서와 명확하고 효율적으로 소통할 수 있는 분
상세 정보 더 보기",,https://www.wanted.co.kr/wd/333971,2026-01-28,
일렉링크,완속 충전기 영업 담당 (4년 이상),경력 4-15년,"1. SK일렉링크를 소개할게요
SK일렉링크는 지금 대한민국 전기차 충전 인프라 시장에서 혁신을 이끌며 폭발적으로 성장하고 있어요. 우리의 비전은 단순한 충전 사업자를 넘어, 전기차의 구매, 관리, 운행, 재판매까지 차량 생애주기 전체를 아우르는 'No. 1 Green Mobility Platform'이 되는 것입니다.
현재 우리는 전국 단위의 촘촘한 충전 네트워크를 구축하며 시장의 판도를 바꾸고 있습니다. 이러한 확장 전략의 핵심인 완속충전기 인프라를 전국 곳곳에 보급하고, 새로운 시장 기회를 발굴하여 성장의 가속도를 붙여줄 역동적인 영업 전문가를 찾습니다.

2. 합류하게 될 인프라사업팀을 소개합니다
인프라사업팀은 SK일렉링크의 서비스 영토를 확장하는 최전방 부대입니다. 완속충전기 영업 담당자는 단순한 판매를 넘어, 지역 거점을 확보하고 파트너십을 설계하는 비즈니스 디벨로퍼(Business Developer) 역할을 수행합니다.
• 팀의 역할: B2B, B2C는 물론 B2G(공공기관)를 아우르는 다각도 영업 채널을 가동하며, 로컬 영업망의 핵심인 협력사를 발굴하고 관리합니다.
• 주요 협업: 시공 파트너사, 공공기관 담당자, 내부 사업 관리 조직과 유기적으로 소통하며 최적의 충전 인프라 보급 솔루션을 제안합니다.
• 성장 기회: 급성장하는 EV 시장에서 국가 사업 입찰부터 신규 시장 진출 전략 수립까지, 사업의 전 과정을 주도하며 업계 최고의 영업 전문가로 도약할 수 있습니다.
주요업무
3. 합류하면 함께할 업무예요
전기차 충전 인프라 확대를 위한 전방위 영업 및 파트너십 관리를 담당합니다.

[완속 충전기 판매 및 영업 확장]
• B2B(기업), B2C(민간), B2G(공공) 대상 완속 충전기 영업 및 계약 체결
• 지역별 로컬 영업망 구축 및 신규 협력사 발굴/매니지먼트

[전략적 사업 발굴 및 입찰]
• 공공기관 및 지자체 대상 국가 사업 모니터링 및 입찰 영업 주도
• 신규 시장 진출을 위한 권역별 성장 전략 수립 및 실행

[사업 관리 및 데이터 분석]
• 충전 사업 운영 데이터 분석을 통한 영업 효율성 개선
• 영업 목표 달성 현황 관리 및 시장 트렌드 기반의 사업 고도화
자격요건
• 학력: 4년제 대학교 졸업(학사) 이상인 분
• 경력: 관련 업계 또는 관련 영업 업무 경력 4년 이상인 분
• 역량: 능동적인 영업 타겟 발굴 능력과 목표 달성을 향한 강한 추진력을 보유하신 분
• 이해도: 전기차 충전 산업 전반에 대한 기초 지식과 비즈니스 매너를 갖춘 분
*서류 제출시 고등학교 포함 학력정보를 입력해주세요.
상세 정보 더 보기",,https://www.wanted.co.kr/wd/334050,2026-01-28,2026-01-29
일렉링크,법무 운영 및 컴플라이언스 담당자 (4년 이상),경력 4년,"SK일렉링크를 소개할게요
SK일렉링크는 대한민국 전기차 충전 인프라 시장의 혁신을 이끌며 폭발적으로 성장하고 있습니다. 우리의 비전은 단순한 충전 사업자를 넘어, 전기차의 생애주기 전체를 아우르는 'No. 1 Green Mobility Platform'이 되는 것입니다.

현재 충전 슈퍼앱, 데이터 기반 핀테크 서비스 등 혁신적인 비즈니스 모델을 확장하고 있으며, 이 과정에서 발생하는 다양한 법률 리스크를 관리하고 비즈니스의 안정성을 확보하는 법무 조직의 역할이 어느 때보다 중요해지고 있습니다.



합류하게 될 법무팀을 소개합니다
SK일렉링크의 법무팀은 회사의 모든 비즈니스 의사결정에 법적 가이드라인을 제시하는 컨트롤 타워입니다. 우리는 규제의 틀 안에서 사업 부서가 가장 효율적으로 움직일 수 있는 실질적인 해법을 제시합니다.

법무팀을 리드해주시는 사내 변호사와 함께 전자금융업 내부통제 운영의 실무를 책임지며, 전사의 계약 관리 체계와 준법 점검 프로세스를 단단하게 다지는 역할을 수행하게 됩니다. 법무 전문가로서 실질적인 커리어를 확장하고 싶은 분들의 지원을 기다립니다.
주요업무
법무 실무 전반을 운영하며, 회사의 준법 시스템이 현장에서 원활히 작동하도록 지원합니다.

[법률 검토 및 계약 관리 실무]
• 신규 비즈니스 및 서비스 관련 이용약관 제·개정, 서비스 가이드라인 검토를 수행합니다.
• 국내외 각종 계약서(제휴, 구매, 용역 등)를 검토하고, 표준 계약서 양식을 고도화하여 계약 리스크를 선제적으로 관리합니다.

[준법지원 및 AML 실무 운영]
• 전자금융거래법 및 특금법에 따른 자금세탁방지(AML) 상시 모니터링 및 운영 실무를 지원합니다.
• 개인정보 보호 실태 점검 및 내부통제 체크리스트를 기반으로 상시 준법 점검을 수행합니다.

[법률 자문 및 소송 지원]
• 사업 부서의 일상적인 법률 질의에 대한 검토 의견을 제공하고 가이드를 수립합니다.
• 소송 및 분쟁 발생 시 기초 자료 수집, 증거 확보 등 대응 실무를 지원하며 외부 로펌과의 커뮤니케이션을 담당합니다.

[거버넌스 및 행정 지원]
• 이사회 및 주주총회 개최 관련 실무(안건 준비, 의사록 작성 지원 등)를 수행합니다.
• 법무 관련 인감 관리, 법인 등기 관리 등 제반 행정 업무를 운영합니다.
자격요건
• 법무 또는 컴플라이언스 실무 경력 4년 이상인 분
• 기업법무 전반(계약 검토, 소송 지원, 등기 등)에 대한 실무 지식과 경험을 보유하신 분
• 복잡한 법률 이슈를 명확하게 정리하고 문서화하는 능력이 탁월하신 분
• 꼼꼼한 업무 처리 능력과 강한 책임감을 기반으로 실무를 완결성 있게 수행하시는 분

* 이력서에 고등학교 학력 정보를 포함해주세요.
상세 정보 더 보기",,https://www.wanted.co.kr/wd/335688,2026-01-28,2026-02-06
일렉링크,EV 충전 인프라 구축 담당자,경력 3년,"1. SK일렉링크를 소개할게요
SK일렉링크는 지금 대한민국 전기차 충전 인프라 시장에서 혁신을 이끌며 폭발적으로 성장하고 있어요.
우리의 비전은 단순한 충전 사업자를 넘어, 전기차의 구매, 관리, 운행, 재판매까지 차량 생애주기 전체를 아우르는 'No. 1 Green Mobility Platform'이 되는 것입니다.
충전 슈퍼앱, 차량 진단 O2O, 데이터 기반 핀테크 서비스까지! 우리는 기존에 없던 완전히 새로운 모빌리티 생태계를 우리가 직접 만들어가고 있습니다.
이런 높은목표를 실현하기 위해, 우리는 자율과 책임을 바탕으로 강력한 상호 신뢰 속에서 일하는 문화를 중요하게 생각해요. SK일렉링크의 거대한 성장에 EV 충전 인프라 구축이라는 거대한 뿌리를 함께 심어나갈 쌓핵심 동료를 찾습니다!

2. 합류하게 될 인프라혁신팀을 소개합니다
SK일렉링크의 EV 충전 인프라 구축 포지션은 단순한 시공 관리를 넘어, 회사의 핵심 자산인 충전소가 최적의 장소에 고품질로 조성될 수 있도록 전 과정을 리딩하는 역할을 수행합니다.
• 주요 협업: 인프라사업, 인프라구축, 플랫폼 기술 등 전사 부서 및 대외 이해관계자 (관공서, 한전 등)와 유기적으로 협력하며 인프라를 확장합니다.
• 팀의 역할: 구축 분야의 전문가로서 충전소 기획부터 준공까지의 전 과정을 책임지며 인프라 경쟁력을 확보합니다.
